country;variable;percentile;year;value;age;pop
CA;xlcyux999i;p0p100;1960;0.39393118;999;i
CA;xlcyux999i;p0p100;1961;0.41151312;999;i
CA;xlcyux999i;p0p100;1962;0.43413877;999;i
CA;xlcyux999i;p0p100;1963;0.4380959;999;i
CA;xlcyux999i;p0p100;1964;0.43813646;999;i
CA;xlcyux999i;p0p100;1965;0.43788263;999;i
CA;xlcyux999i;p0p100;1966;0.43761182;999;i
CA;xlcyux999i;p0p100;1967;0.43817711;999;i
CA;xlcyux999i;p0p100;1968;0.4376761;999;i
CA;xlcyux999i;p0p100;1969;0.43739176;999;i
CA;xlcyux999i;p0p100;1970;0.42445007;999;i
CA;xlcyux999i;p0p100;1971;0.41018277;999;i
CA;xlcyux999i;p0p100;1972;0.44093722;999;i
CA;xlcyux999i;p0p100;1973;0.50270206;999;i
CA;xlcyux999i;p0p100;1974;0.49871486;999;i
CA;xlcyux999i;p0p100;1975;0.5469113;999;i
CA;xlcyux999i;p0p100;1976;0.50788975;999;i
CA;xlcyux999i;p0p100;1977;0.57241714;999;i
CA;xlcyux999i;p0p100;1978;0.67752558;999;i
CA;xlcyux999i;p0p100;1979;0.75335759;999;i
CA;xlcyux999i;p0p100;1980;0.78031737;999;i
CA;xlcyux999i;p0p100;1981;0.70336109;999;i
CA;xlcyux999i;p0p100;1982;0.6518923;999;i
CA;xlcyux999i;p0p100;1983;0.62379521;999;i
CA;xlcyux999i;p0p100;1984;0.55820841;999;i
CA;xlcyux999i;p0p100;1985;0.46497861;999;i
CA;xlcyux999i;p0p100;1986;0.402428;999;i
CA;xlcyux999i;p0p100;1987;0.35624826;999;i
CA;xlcyux999i;p0p100;1988;0.33064893;999;i
CA;xlcyux999i;p0p100;1989;0.31446418;999;i
CA;xlcyux999i;p0p100;1990;0.24393146;999;i
CA;xlcyux999i;p0p100;1991;0.21522307;999;i
CA;xlcyux999i;p0p100;1992;0.21918666;999;i
CA;xlcyux999i;p0p100;1993;0.22389509;999;i
CA;xlcyux999i;p0p100;1994;0.15844983;999;i
CA;xlcyux999i;p0p100;1995;0.16433629;999;i
CA;xlcyux999i;p0p100;1996;0.16399322;999;i
CA;xlcyux999i;p0p100;1997;0.16702621;999;i
CA;xlcyux999i;p0p100;1998;0.17918475;999;i
CA;xlcyux999i;p0p100;1999;0.17947413;999;i
CA;xlcyux999i;p0p100;2000;0.17939351;999;i
CA;xlcyux999i;p0p100;2001;0.18711467;999;i
CA;xlcyux999i;p0p100;2002;0.18960087;999;i
CA;xlcyux999i;p0p100;2003;0.16926971;999;i
CA;xlcyux999i;p0p100;2004;0.15718865;999;i
CA;xlcyux999i;p0p100;2005;0.14787851;999;i
CA;xlcyux999i;p0p100;2006;0.14226778;999;i
CA;xlcyux999i;p0p100;2007;0.1411889;999;i
CA;xlcyux999i;p0p100;2008;0.15356064;999;i
CA;xlcyux999i;p0p100;2009;0.16732995;999;i
CA;xlcyux999i;p0p100;2010;0.15215981;999;i
CA;xlcyux999i;p0p100;2011;0.15314348;999;i
CA;xlcyux999i;p0p100;2012;0.15829146;999;i
CA;xlcyux999i;p0p100;2013;0.16620994;999;i
CA;xlcyux999i;p0p100;2014;0.18004669;999;i
CA;xlcyux999i;p0p100;2015;0.20539546;999;i
CA;xlcyux999i;p0p100;2016;0.19947386;999;i
CA;xlcyux999i;p0p100;2017;0.19200821;999;i
CA;xlcyux999i;p0p100;2018;0.19580232;999;i
CA;xlcyup999i;p0p100;1952;0.65788555;999;i
CA;xlcyup999i;p0p100;1953;0.59019822;999;i
CA;xlcyup999i;p0p100;1954;0.57932591;999;i
CA;xlcyup999i;p0p100;1955;0.57199085;999;i
CA;xlcyup999i;p0p100;1956;0.56082034;999;i
CA;xlcyup999i;p0p100;1957;0.60235697;999;i
CA;xlcyup999i;p0p100;1958;0.56742537;999;i
CA;xlcyup999i;p0p100;1959;0.54731101;999;i
CA;xlcyup999i;p0p100;1960;0.52838594;999;i
CA;xlcyup999i;p0p100;1961;0.43527621;999;i
CA;xlcyup999i;p0p100;1962;0.49915564;999;i
CA;xlcyup999i;p0p100;1963;0.54287231;999;i
CA;xlcyup999i;p0p100;1964;0.5441072;999;i
CA;xlcyup999i;p0p100;1965;0.52770978;999;i
CA;xlcyup999i;p0p100;1966;0.548994;999;i
CA;xlcyup999i;p0p100;1967;0.55872911;999;i
CA;xlcyup999i;p0p100;1968;0.57533056;999;i
CA;xlcyup999i;p0p100;1969;0.60598981;999;i
CA;xlcyup999i;p0p100;1970;0.62160236;999;i
CA;xlcyup999i;p0p100;1971;0.63176346;999;i
CA;xlcyup999i;p0p100;1972;0.6656462;999;i
CA;xlcyup999i;p0p100;1973;0.71693754;999;i
CA;xlcyup999i;p0p100;1974;0.82052046;999;i
CA;xlcyup999i;p0p100;1975;0.89846611;999;i
CA;xlcyup999i;p0p100;1976;0.9437362;999;i
CA;xlcyup999i;p0p100;1977;0.99556077;999;i
CA;xlcyup999i;p0p100;1978;1.0376263;999;i
CA;xlcyup999i;p0p100;1979;1.0897361;999;i
CA;xlcyup999i;p0p100;1980;1.1270248;999;i
CA;xlcyup999i;p0p100;1981;1.2249626;999;i
CA;xlcyup999i;p0p100;1982;1.3157541;999;i
CA;xlcyup999i;p0p100;1983;1.3761678;999;i
CA;xlcyup999i;p0p100;1984;1.4427235;999;i
CA;xlcyup999i;p0p100;1985;1.4571679;999;i
CA;xlcyup999i;p0p100;1986;1.4235182;999;i
CA;xlcyup999i;p0p100;1987;1.3936657;999;i
CA;xlcyup999i;p0p100;1988;1.2601097;999;i
CA;xlcyup999i;p0p100;1989;1.1134138;999;i
CA;xlcyup999i;p0p100;1990;1.0163753;999;i
CA;xlcyup999i;p0p100;1991;1.0105149;999;i
CA;xlcyup999i;p0p100;1992;0.93633503;999;i
CA;xlcyup999i;p0p100;1993;0.74734658;999;i
CA;xlcyup999i;p0p100;1994;0.59872472;999;i
CA;xlcyup999i;p0p100;1995;0.51100177;999;i
CA;xlcyup999i;p0p100;1996;0.47087643;999;i
CA;xlcyup999i;p0p100;1997;0.44732252;999;i
CA;xlcyup999i;p0p100;1998;0.44326547;999;i
CA;xlcyup999i;p0p100;1999;0.44650817;999;i
CA;xlcyup999i;p0p100;2000;0.43642476;999;i
CA;xlcyup999i;p0p100;2001;0.43607968;999;i
CA;xlcyup999i;p0p100;2002;0.44099903;999;i
CA;xlcyup999i;p0p100;2003;0.44020849;999;i
CA;xlcyup999i;p0p100;2004;0.42646536;999;i
CA;xlcyup999i;p0p100;2005;0.42184418;999;i
CA;xlcyup999i;p0p100;2006;0.41870862;999;i
CA;xlcyup999i;p0p100;2007;0.4024066;999;i
CA;xlcyup999i;p0p100;2008;0.38820568;999;i
CA;xlcyup999i;p0p100;2009;0.38484317;999;i
CA;xlcyup999i;p0p100;2010;0.37032479;999;i
CA;xlcyup999i;p0p100;2011;0.35372621;999;i
CA;xlcyup999i;p0p100;2012;0.35278833;999;i
CA;xlcyup999i;p0p100;2013;0.35156134;999;i
CA;xlcyup999i;p0p100;2014;0.35656625;999;i
CA;xlcyup999i;p0p100;2015;0.35597175;999;i
CA;xlcyup999i;p0p100;2016;0.36030421;999;i
CA;xlcyup999i;p0p100;2017;0.37155288;999;i
CA;xlcyup999i;p0p100;2018;0.38022107;999;i
CA;xlcusx999i;p0p100;1960;0.96978331;999;i
CA;xlcusx999i;p0p100;1961;1.0130666;999;i
CA;xlcusx999i;p0p100;1962;1.0687667;999;i
CA;xlcusx999i;p0p100;1963;1.0785084;999;i
CA;xlcusx999i;p0p100;1964;1.0786083;999;i
CA;xlcusx999i;p0p100;1965;1.0779834;999;i
CA;xlcusx999i;p0p100;1966;1.0773166;999;i
CA;xlcusx999i;p0p100;1967;1.0787083;999;i
CA;xlcusx999i;p0p100;1968;1.077475;999;i
CA;xlcusx999i;p0p100;1969;1.076775;999;i
CA;xlcusx999i;p0p100;1970;1.044915;999;i
CA;xlcusx999i;p0p100;1971;1.0097916;999;i
CA;xlcusx999i;p0p100;1972;0.98993331;999;i
CA;xlcusx999i;p0p100;1973;1.0000833;999;i
CA;xlcusx999i;p0p100;1974;0.9780333;999;i
CA;xlcusx999i;p0p100;1975;1.0171584;999;i
CA;xlcusx999i;p0p100;1976;0.98602498;999;i
CA;xlcusx999i;p0p100;1977;1.06345;999;i
CA;xlcusx999i;p0p100;1978;1.1406749;999;i
CA;xlcusx999i;p0p100;1979;1.171425;999;i
CA;xlcusx999i;p0p100;1980;1.1692166;999;i
CA;xlcusx999i;p0p100;1981;1.1989083;999;i
CA;xlcusx999i;p0p100;1982;1.2337333;999;i
CA;xlcusx999i;p0p100;1983;1.2324166;999;i
CA;xlcusx999i;p0p100;1984;1.2950667;999;i
CA;xlcusx999i;p0p100;1985;1.3654833;999;i
CA;xlcusx999i;p0p100;1986;1.3895;999;i
CA;xlcusx999i;p0p100;1987;1.3259916;999;i
CA;xlcusx999i;p0p100;1988;1.2307084;999;i
CA;xlcusx999i;p0p100;1989;1.1839917;999;i
CA;xlcusx999i;p0p100;1990;1.166775;999;i
CA;xlcusx999i;p0p100;1991;1.1457167;999;i
CA;xlcusx999i;p0p100;1992;1.208725;999;i
CA;xlcusx999i;p0p100;1993;1.2900741;999;i
CA;xlcusx999i;p0p100;1994;1.3656384;999;i
CA;xlcusx999i;p0p100;1995;1.3724408;999;i
CA;xlcusx999i;p0p100;1996;1.3634683;999;i
CA;xlcusx999i;p0p100;1997;1.3846166;999;i
CA;xlcusx999i;p0p100;1998;1.483463;999;i
CA;xlcusx999i;p0p100;1999;1.4857317;999;i
CA;xlcusx999i;p0p100;2000;1.48511;999;i
CA;xlcusx999i;p0p100;2001;1.5487609;999;i
CA;xlcusx999i;p0p100;2002;1.5693183;999;i
CA;xlcusx999i;p0p100;2003;1.4010516;999;i
CA;xlcusx999i;p0p100;2004;1.3010192;999;i
CA;xlcusx999i;p0p100;2005;1.2117634;999;i
CA;xlcusx999i;p0p100;2006;1.1343633;999;i
