"Area" "gmp" "pcgmp"
"1" "Abilene, TX" 5.924e+09 35366
"2" "Akron, OH" 2.9662e+10 42033
"3" "Albany, GA" 4.857e+09 31196
"4" "Albany, OR" 3.13e+09 26354
"5" "Albany-Schenectady-Troy, NY" 4.3562e+10 49621
"6" "Albuquerque, NM" 3.9618e+10 43884
"7" "Alexandria, LA" 4.995e+09 32275
"8" "Allentown-Bethlehem-Easton, PA-NJ" 3.2416e+10 39194
"9" "Altoona, PA" 4.449e+09 35223
"10" "Amarillo, TX" 1.0546e+10 40846
"11" "Ames, IA" 4.648e+09 50302
"12" "Anchorage, AK" 2.7487e+10 69387
"13" "Ann Arbor, MI" 1.9389e+10 54734
"14" "Anniston-Oxford-Jacksonville, AL" 3.518e+09 30136
"15" "Appleton, WI" 1.0393e+10 45196
"16" "Asheville, NC" 1.4787e+10 33786
"17" "Athens-Clarke County, GA" 6.792e+09 34320
"18" "Atlanta-Sandy Springs-Roswell, GA" 2.88175e+11 52178
"19" "Atlantic City-Hammonton, NJ" 1.276e+10 46255
"20" "Auburn-Opelika, AL" 4.293e+09 28445
"21" "Augusta-Richmond County, GA-SC" 1.9497e+10 33599
"22" "Austin-Round Rock, TX" 9.8126e+10 52110
"23" "Bakersfield, CA" 3.3408e+10 38661
"24" "Baltimore-Columbia-Towson, MD" 1.58746e+11 57294
"25" "Bangor, ME" 5.295e+09 34524
"26" "Barnstable Town, MA" 9.431e+09 43867
"27" "Baton Rouge, LA" 4.5769e+10 55805
"28" "Battle Creek, MI" 5.27e+09 39035
"29" "Bay City, MI" 3.043e+09 28483
"30" "Beaumont-Port Arthur, TX" 2.0283e+10 50096
"31" "Beckley, WV" 4.594e+09 36922
"32" "Bellingham, WA" 8.671e+09 42020
"33" "Bend-Redmond, OR" 6.226e+09 37516
"34" "Billings, MT" 8.329e+09 50367
"35" "Binghamton, NY" 8.486e+09 34248
"36" "Birmingham-Hoover, AL" 5.5913e+10 49034
"37" "Bismarck, ND" 6.205e+09 50140
"38" "Blacksburg-Christiansburg-Radford, VA" 5.837e+09 32362
"39" "Bloomington, IL" 1.0551e+10 55220
"40" "Bloomington, IN" 6.058e+09 37144
"41" "Bloomsburg-Berwick, PA" 3.586e+09 42026
"42" "Boise City, ID" 2.6869e+10 41319
"43" "Boston-Cambridge-Newton, MA-NH" 3.49652e+11 74643
"44" "Boulder, CO" 2.0311e+10 65508
"45" "Bowling Green, KY" 5.489e+09 33564
"46" "Bremerton-Silverdale, WA" 8.825e+09 34750
"47" "Bridgeport-Stamford-Norwalk, CT" 8.7791e+10 93404
"48" "Brownsville-Harlingen, TX" 8.015e+09 19207
"49" "Brunswick, GA" 3.195e+09 28077
"50" "Buffalo-Cheektowaga-Niagara Falls, NY" 4.8257e+10 42550
"51" "Burlington, NC" 4.874e+09 31574
"52" "Burlington-South Burlington, VT" 1.2018e+10 55953
"53" "California-Lexington Park, MD" 5.421e+09 49449
"54" "Canton-Massillon, OH" 1.4641e+10 36267
"55" "Cape Coral-Fort Myers, FL" 2.0162e+10 30497
"56" "Cape Girardeau, MO-IL" 3.482e+09 35731
"57" "Carbondale-Marion, IL" 4.29e+09 33853
"58" "Carson City, NV" 2.673e+09 49422
"59" "Casper, WY" 6.501e+09 80288
"60" "Cedar Rapids, IA" 1.6381e+10 62423
"61" "Chambersburg-Waynesboro, PA" 4.287e+09 28189
"62" "Champaign-Urbana, IL" 9.402e+09 39979
"63" "Charleston, WV" 1.3107e+10 58318
"64" "Charleston-North Charleston, SC" 3.0667e+10 43058
"65" "Charlotte-Concord-Gastonia, NC-SC" 1.30318e+11 55802
"66" "Charlottesville, VA" 1.054e+10 47042
"67" "Chattanooga, TN-GA" 2.0945e+10 38662
"68" "Cheyenne, WY" 4.954e+09 51711
"69" "Chicago-Naperville-Elgin, IL-IN-WI" 5.50793e+11 57752
"70" "Chico, CA" 6.247e+09 28130
"71" "Cincinnati, OH-KY-IN" 1.11279e+11 52063
"72" "Clarksville, TN-KY" 9.893e+09 36295
"73" "Cleveland, TN" 3.642e+09 30724
"74" "Cleveland-Elyria, OH" 1.14448e+11 55430
"75" "Coeur d'Alene, ID" 4.223e+09 29273
"76" "College Station-Bryan, TX" 7.672e+09 32398
"77" "Colorado Springs, CO" 2.671e+10 39377
"78" "Columbia, MO" 7.122e+09 41707
"79" "Columbia, SC" 3.3199e+10 41824
"80" "Columbus, GA-AL" 1.2108e+10 38250
"81" "Columbus, IN" 4.932e+09 61970
"82" "Columbus, OH" 1.07191e+11 54493
"83" "Corpus Christi, TX" 2.0439e+10 46180
"84" "Corvallis, OR" 5.231e+09 60408
"85" "Crestview-Fort Walton Beach-Destin, FL" 1.1462e+10 45195
"86" "Cumberland, MD-WV" 2.706e+09 26736
"87" "Dallas-Fort Worth-Arlington, TX" 4.13627e+11 60730
"88" "Dalton, GA" 5.147e+09 36190
"89" "Danville, IL" 2.495e+09 31063
"90" "Daphne-Fairhope-Foley, AL" 5.909e+09 30217
"91" "Davenport-Moline-Rock Island, IA-IL" 1.8198e+10 47431
"92" "Dayton, OH" 3.5216e+10 43884
"93" "Decatur, AL" 5.063e+09 33008
"94" "Decatur, IL" 5.511e+09 50431
"95" "Deltona-Daytona Beach-Ormond Beach, FL" 1.3085e+10 21782
"96" "Denver-Aurora-Lakewood, CO" 1.6615e+11 61595
"97" "Des Moines-West Des Moines, IA" 3.9714e+10 66213
"98" "Detroit-Warren-Dearborn, MI" 2.13258e+11 49653
"99" "Dothan, AL" 4.583e+09 31029
"100" "Dover, DE" 6.033e+09 35611
"101" "Dubuque, IA" 4.624e+09 48314
"102" "Duluth, MN-WI" 1.0928e+10 39046
"103" "Durham-Chapel Hill, NC" 3.953e+10 73945
"104" "East Stroudsburg, PA" 5.035e+09 30123
"105" "Eau Claire, WI" 6.621e+09 40234
"106" "El Centro, CA" 4.835e+09 27380
"107" "Elizabethtown-Fort Knox, KY" 5.458e+09 36037
"108" "Elkhart-Goshen, IN" 1.161e+10 57886
"109" "Elmira, NY" 2.999e+09 33885
"110" "El Paso, TX" 2.5543e+10 30736
"111" "Erie, PA" 9.825e+09 35053
"112" "Eugene, OR" 1.2382e+10 34760
