"","USD","RMB"
"1",555853.251176743,3584480.44704046
"2",402261.352268837,2618027.79379
"3",456214.503834872,2978780.29683253
"4",542639.27579933,3535603.74457814
"5",574712.235807037,3719906.18660005
"6",545027.25071422,3547546.83849415
"7",573584.180898617,3774804.96474654
"8",613274.195727758,4091163.8200659
"9",493152.631032244,3268675.52420111
"10",497410.016200502,3309699.94774107
"11",537015.846397156,3608529.72061506
"12",583716.846520975,3989561.71516978
"13",570322.240720499,3949977.23561962
"14",351607.363273235,2424200.62750677
"15",522992.776659817,3588484.81423746
"16",510237.498266321,3518627.00114813
"17",586751.464105752,4036593.69498069
"18",560276.750305224,3845233.14537368
"19",555584.230561353,3792529.59604526
"20",568507.95912039,3842575.43622388
"21",508730.71779349,3403385.89608981
"22",518920.966445362,3429700.47615737
"23",584675.866024957,3856102.83627692
"24",609178.992333607,4032252.19312832
"25",584512.614535438,3862511.33473584
"26",568813.317644286,3697904.34360941
"27",416727.668048825,2648084.17925726
"28",548396.640361889,3476295.82574347
"29",599141.38098273,3776084.74603207
"30",598562.984245726,3804119.37257333
"31",579674.479346762,3736005.53704534
"32",601741.112766,3991324.16031768
"33",603737.852152355,4122492.71917963
"34",528767.209550504,3629530.47623793
"35",558577.12771026,3854937.89340655
"36",549027.93862646,3808974.58525808
"37",645821.188967045,4456921.78404321
"38",378534.451617385,2591747.91182532
