Country,Year,P90 income threshold,P95 income threshold,P99 income threshold,P99.5 income threshold,P99.9 income threshold,P99.99 income threshold
United States,1913,NA,NA,80087.9,131337.23,415206.36,1746429.12
United States,1914,NA,NA,74012.72,122935.88,397671.61,1735225.57
United States,1915,NA,NA,62392.24,118717.43,437522.75,2219930.2
United States,1916,NA,NA,74869.18,133777.14,502094.17,2749838.93
United States,1917,27008.81,37404.74,92341.21,149697.89,519558.65,2370231.78
United States,1918,28584.05,38188.97,92221.06,143219.66,442731.08,1791549.8
United States,1919,27058.98,37373.03,93757.35,145818.99,464982.85,1654851.46
United States,1920,27460.21,33262.77,80455.37,128494.45,368109.89,1194598.41
United States,1921,26926.06,33587.43,79241.83,122271.2,343458.45,1098527.15
United States,1922,28665.27,37245.05,88764.67,139003.07,400214.17,1271451.43
United States,1923,30802.44,41924.4,91662.86,145284.18,409574.3,1250707.13
United States,1924,32017.89,42868.65,96309.09,152595.04,433328.41,1428236.29
United States,1925,32813.12,42811.6,103376.02,162548.52,452423.71,1505357.2
United States,1926,32002.84,41553.54,107382.55,167234.23,466019.88,1603643.11
United States,1927,32590.73,42610.51,109803.98,170173.11,476968.56,1782273.6
United States,1928,33529.61,44126.09,113055.71,171532,486770.61,2030363.27
United States,1929,32733.42,43670.75,113759.24,172579.76,458301.96,1827976.44
United States,1930,32261.02,41258.05,100702.48,151158.07,404002.14,1440202.18
United States,1931,31890.32,40016.59,91234.66,134481.05,336749.5,1187224.75
United States,1932,21875.32,37359.78,78054.46,112098.4,295550.96,1114677.67
United States,1933,21284.74,34324.19,75951.91,109099.22,285711.49,1069512.74
United States,1934,25799.31,36569.08,84570.46,125009.09,337978.38,1150753.52
United States,1935,28336.32,40211.09,88649.11,130657.9,354411.57,1254739.15
United States,1936,30606.14,43631.91,103253.96,157613.76,446355.86,1615313.49
United States,1937,32430.33,43542.05,103226.33,158226.07,443547.07,1513804.28
United States,1938,31754.59,42179.09,93817.99,137580.37,351119.55,1055979.25
United States,1939,35816.81,47295.42,102660.67,151162.39,393662.69,1295499.64
United States,1940,39755.97,46833.24,107888.69,164077.19,428302.37,1368985.64
United States,1941,41126.19,50779.62,117821.44,183031.19,482665.4,1501751.46
United States,1942,41856.42,50773.22,116538.31,183216.99,484061.36,1485176.45
United States,1943,42724.93,55355.31,124435.7,196323.11,500978.98,1300190.73
United States,1944,46632.19,55301.22,128036.68,193783.33,474384.68,1316059.06
United States,1945,44934.21,54823.43,136721.56,209063.4,471428.96,1151722.44
United States,1946,43791.68,56000.67,141190.14,210839.57,470181.12,1140021.96
United States,1947,40519.1,51096.19,126943.04,187931.33,415439.73,1066866.65
United States,1948,42633.72,55676.89,129398.24,194737.48,443690.3,1201256.09
United States,1949,43336.84,56680.11,124673.15,184625.92,422457.58,1160203.05
United States,1950,46837.86,58266.68,134097.62,206808.26,467642.04,1039626.45
United States,1951,47927.22,58967.24,137900.51,200003.11,444985.52,1168759.47
United States,1952,51207.23,62892.54,136465.97,201168.44,417836.1,1044746.71
United States,1953,52779.53,64721.71,137162.39,197191.75,401456.58,958003.82
United States,1954,53069.52,64766.28,139627.56,200180.04,404691.21,970649.44
United States,1955,56673.51,70784.24,146690.86,209271.13,406317.46,998284.24
United States,1956,59038.07,73862.64,156848.05,213034,421174.14,1005651.89
United States,1957,60353.51,74945.82,155293.32,213393.67,426933.64,1023711.4
United States,1958,60355.69,75270.8,151080.51,204150.47,402886.54,966151.77
United States,1959,63900.75,80849.9,161381.44,226899.23,412123.24,948336.22
United States,1960,64986.98,74466.4,159778.01,210130.66,394211.12,929513.08
United States,1961,65402.83,81530.74,164682.4,205403.94,382506.66,910402.57
United States,1962,69103.79,84691.09,169754.86,220972.14,399376.11,900483.81
United States,1963,71265.92,88261.57,171559.78,223458.75,404618.08,917693.43
United States,1964,74353.04,89022.64,172503.44,232885.7,413065.95,884403.8
United States,1965,76562.19,93629.45,175887.84,243752.58,425058.29,892764.11
